JET_Pileup_OffsetMu Pileup*offset*#mu
JET_Pileup_OffsetNPV Pileup*offset*N_{PV}
JET_Pileup_PtTerm Pileup*p_{T}*term
JET_Pileup_RhoTopology Pileup*#rho*topology
JET_SingleParticle_HighPt Single*particle*high*p_{T}
JET_PunchThrough_AFII AFII*punchthrough
JET_RelativeNonClosure_AFII AFII*relative*nonclosure
JET_EffectiveNP_Detector1 Eff.*NP*Det.*1
JET_EffectiveNP_Detector2 Eff.*NP*Det.*2
JET_EffectiveNP_Modelling1 Eff.*NP*Modeling*1
JET_EffectiveNP_Modelling2 Eff.*NP*Modeling*2
JET_EffectiveNP_Modelling3 Eff.*NP*Modeling*3
JET_EffectiveNP_Modelling4 Eff.*NP*Modeling*4
JET_EffectiveNP_Mixed1 Eff.*NP*Mixed*1
JET_EffectiveNP_Mixed2 Eff.*NP*Mixed*2
JET_EffectiveNP_Mixed3 Eff.*NP*Mixed*3
JET_EffectiveNP_Statistical1 Eff.*NP*Stat.*1
JET_EffectiveNP_Statistical2 Eff.*NP*Stat.*2
JET_EffectiveNP_Statistical3 Eff.*NP*Stat.*3
JET_EffectiveNP_Statistical4 Eff.*NP*Stat.*4
JET_EffectiveNP_Statistical5 Eff.*NP*Stat.*5
JET_EffectiveNP_Statistical6 Eff.*NP*Stat.*6
JET_Flavor_Composition_prop Flavor*composition
JET_Flavor_Response_prop Flavor*response*prop
JET_Flavour_PerJet_GenShower Flavor*per-jet*gen*shower
JET_Flavour_PerJet_GenShower_HF Flavor*per-jet*gen*shower*HF
JET_Flavour_PerJet_Hadronization Flavor*per-jet*hadronization
JET_Flavour_PerJet_Hadronization_HF Flavor*per-jet*hadronization*HF
JET_Flavour_PerJet_Shower  Flavor*per-jet*shower
JET_Flavour_PerJet_Shower_HF Flavor*per-jet*shower*HV
JET_EtaIntercalibration_Modelling #eta*intercal.*modeling
JET_EtaIntercalibration_NonClosure_2018data #eta*intercal.*modeling
JET_EtaIntercalibration_NonClosure_highE #eta*intercal.*nonclosure*high*E
JET_EtaIntercalibration_NonClosure_negEta #eta*intercal.*nonclosure*neg.*#eta
JET_EtaIntercalibration_NonClosure_posEta #eta*intercal.*nonclosure*pos.*#eta
JET_EtaIntercalibration_TotalStat #eta*intercal.*total*stat.
JET_JER_EffectiveNP_1 JER*Eff.*NP*1
JET_JER_EffectiveNP_2 JER*Eff.*NP*2
JET_JER_EffectiveNP_3 JER*Eff.*NP*3
JET_JER_EffectiveNP_4 JER*Eff.*NP*4
JET_JER_EffectiveNP_5 JER*Eff.*NP*5
JET_JER_EffectiveNP_6 JER*Eff.*NP*6
JET_JER_EffectiveNP_7 JER*Eff.*NP*7
JET_JER_EffectiveNP_8 JER*Eff.*NP*8
JET_JER_EffectiveNP_9 JER*Eff.*NP*9
JET_JER_EffectiveNP_10 JER*Eff.*NP*10
JET_JER_EffectiveNP_11 JER*Eff.*NP*11
JET_JER_EffectiveNP_12restTerm JER*Eff.*NP*12*rest*term
JET_JER_DataVsMC_AFII JER*Data*Vs*MC*AFII
